,Algorithm,Number of MTAs,Runtime,Result
0,Backtracking,1,0.0,1
1,Remembering No Goods,1,0.0,1
2,Backtracking,1,0.0,1
3,Remembering No Goods,1,0.0,1
4,Backtracking,1,0.0,1
5,Remembering No Goods,1,0.0,1
6,Backtracking,1,0.0,1
7,Remembering No Goods,1,0.0,1
8,Backtracking,1,0.0,1
9,Remembering No Goods,1,0.0,1
10,Backtracking,1,0.0,1
11,Remembering No Goods,1,0.0,1
12,Backtracking,1,0.0,1
13,Remembering No Goods,1,0.0,1
14,Backtracking,1,0.0,1
15,Remembering No Goods,1,0.0,1
16,Backtracking,1,0.0,1
17,Remembering No Goods,1,0.0,1
18,Backtracking,1,0.0,1
19,Remembering No Goods,1,0.0,1
20,Backtracking,1,0.0,1
21,Remembering No Goods,1,0.0,1
22,Backtracking,1,0.0,1
23,Remembering No Goods,1,0.0,1
24,Backtracking,1,0.0,1
25,Remembering No Goods,1,0.0,1
26,Backtracking,1,0.0,1
27,Remembering No Goods,1,0.0,1
28,Backtracking,1,0.0,1
29,Remembering No Goods,1,0.0,1
30,Backtracking,1,0.0,1
31,Remembering No Goods,1,0.0,1
32,Backtracking,1,0.0,1
33,Remembering No Goods,1,1.7952919006347656,1
34,Backtracking,1,0.0,1
35,Remembering No Goods,1,0.0,1
36,Backtracking,1,0.0,1
37,Remembering No Goods,1,0.0,1
38,Backtracking,1,0.0,1
39,Remembering No Goods,1,0.0,1
40,Backtracking,1,0.0,1
41,Remembering No Goods,1,0.0,1
42,Backtracking,1,0.0,1
43,Remembering No Goods,1,0.0,1
44,Backtracking,1,0.0,1
45,Remembering No Goods,1,0.0,1
46,Backtracking,1,0.0,1
47,Remembering No Goods,1,0.0,1
48,Backtracking,1,0.0,1
49,Remembering No Goods,1,0.0,1
50,Backtracking,1,0.0,1
51,Remembering No Goods,1,0.0,1
52,Backtracking,1,0.0,1
53,Remembering No Goods,1,0.0,1
54,Backtracking,1,0.0,1
55,Remembering No Goods,1,0.0,1
56,Backtracking,1,0.0,1
57,Remembering No Goods,1,0.0,1
58,Backtracking,1,0.0,1
59,Remembering No Goods,1,0.0,1
60,Backtracking,1,0.0,1
61,Remembering No Goods,1,0.0,1
62,Backtracking,1,0.0,1
63,Remembering No Goods,1,0.0,1
64,Backtracking,1,0.0,1
65,Remembering No Goods,1,0.0,1
66,Backtracking,1,0.0,1
67,Remembering No Goods,1,0.0,1
68,Backtracking,1,0.0,1
69,Remembering No Goods,1,0.0,1
70,Backtracking,1,0.0,1
71,Remembering No Goods,1,0.0,1
72,Backtracking,1,0.0,1
73,Remembering No Goods,1,0.0,1
74,Backtracking,1,0.0,1
75,Remembering No Goods,1,0.0,1
76,Backtracking,1,0.0,1
77,Remembering No Goods,1,0.0,1
78,Backtracking,1,0.0,1
79,Remembering No Goods,1,0.0,1
80,Backtracking,1,0.0,1
81,Remembering No Goods,1,0.0,1
82,Backtracking,1,0.0,1
83,Remembering No Goods,1,0.0,1
84,Backtracking,1,0.0,1
85,Remembering No Goods,1,0.0,1
86,Backtracking,1,0.0,1
87,Remembering No Goods,1,0.0,1
88,Backtracking,1,0.0,1
89,Remembering No Goods,1,0.0,1
90,Backtracking,1,0.0,1
91,Remembering No Goods,1,0.0,1
92,Backtracking,1,0.0,1
93,Remembering No Goods,1,0.0,1
94,Backtracking,1,0.0,1
95,Remembering No Goods,1,0.0,1
96,Backtracking,1,0.0,1
97,Remembering No Goods,1,0.0,1
98,Backtracking,1,0.0,1
99,Remembering No Goods,1,0.0,1
100,Backtracking,2,0.0,1
101,Remembering No Goods,2,0.0,1
102,Backtracking,2,0.0,1
103,Remembering No Goods,2,0.0,1
104,Backtracking,2,0.0,1
105,Remembering No Goods,2,0.0,1
106,Backtracking,2,0.0,1
107,Remembering No Goods,2,0.0,1
108,Backtracking,2,0.0,1
109,Remembering No Goods,2,0.0,1
110,Backtracking,2,0.0,1
111,Remembering No Goods,2,0.0,1
112,Backtracking,2,0.0,1
113,Remembering No Goods,2,0.0,1
114,Backtracking,2,0.0,1
115,Remembering No Goods,2,0.0,1
116,Backtracking,2,0.0,1
117,Remembering No Goods,2,0.0,1
118,Backtracking,2,0.0,1
119,Remembering No Goods,2,0.0,1
120,Backtracking,2,0.0,1
121,Remembering No Goods,2,0.0,1
122,Backtracking,2,0.0,1
123,Remembering No Goods,2,0.0,1
124,Backtracking,2,0.0,1
125,Remembering No Goods,2,2.0046234130859375,1
126,Backtracking,2,8.746862411499023,1
127,Remembering No Goods,2,0.0,1
128,Backtracking,2,0.0,1
129,Remembering No Goods,2,0.0,1
130,Backtracking,2,0.0,0
131,Remembering No Goods,2,0.0,0
132,Backtracking,2,0.0,1
133,Remembering No Goods,2,0.0,1
134,Backtracking,2,0.0,1
135,Remembering No Goods,2,0.0,1
136,Backtracking,2,0.0,0
137,Remembering No Goods,2,0.0,0
138,Backtracking,2,0.0,1
139,Remembering No Goods,2,0.0,1
140,Backtracking,2,0.0,1
141,Remembering No Goods,2,0.0,1
142,Backtracking,2,0.0,1
143,Remembering No Goods,2,0.0,1
144,Backtracking,2,0.0,1
145,Remembering No Goods,2,0.0,1
146,Backtracking,2,0.0,1
147,Remembering No Goods,2,0.0,1
148,Backtracking,2,0.0,1
149,Remembering No Goods,2,0.0,1
150,Backtracking,2,0.0,1
151,Remembering No Goods,2,0.0,1
152,Backtracking,2,0.0,1
153,Remembering No Goods,2,0.0,1
154,Backtracking,2,0.0,1
155,Remembering No Goods,2,0.0,1
156,Backtracking,2,0.0,1
157,Remembering No Goods,2,0.0,1
158,Backtracking,2,0.0,1
159,Remembering No Goods,2,15.872001647949219,1
160,Backtracking,2,0.0,1
161,Remembering No Goods,2,0.0,1
162,Backtracking,2,0.0,1
163,Remembering No Goods,2,0.0,1
164,Backtracking,2,0.0,0
165,Remembering No Goods,2,0.0,0
166,Backtracking,2,0.0,1
167,Remembering No Goods,2,1.7466545104980469,1
168,Backtracking,2,0.0,1
169,Remembering No Goods,2,0.0,1
170,Backtracking,2,0.0,1
171,Remembering No Goods,2,0.0,1
172,Backtracking,2,0.0,1
173,Remembering No Goods,2,0.0,1
174,Backtracking,2,0.0,1
175,Remembering No Goods,2,0.0,1
176,Backtracking,2,0.0,1
177,Remembering No Goods,2,0.0,1
178,Backtracking,2,0.0,1
179,Remembering No Goods,2,0.0,1
180,Backtracking,2,0.0,1
181,Remembering No Goods,2,0.0,1
182,Backtracking,2,0.0,1
183,Remembering No Goods,2,0.0,1
184,Backtracking,2,0.0,1
185,Remembering No Goods,2,0.0,1
186,Backtracking,2,0.0,1
187,Remembering No Goods,2,0.0,1
188,Backtracking,2,0.0,1
189,Remembering No Goods,2,0.0,1
190,Backtracking,2,0.0,1
191,Remembering No Goods,2,15.815019607543945,1
192,Backtracking,2,0.0,1
193,Remembering No Goods,2,0.0,1
194,Backtracking,2,0.0,1
195,Remembering No Goods,2,0.0,1
196,Backtracking,2,0.0,1
197,Remembering No Goods,2,0.0,1
198,Backtracking,2,0.0,1
199,Remembering No Goods,2,0.0,1
200,Backtracking,3,0.0,1
201,Remembering No Goods,3,0.0,1
202,Backtracking,3,0.0,1
203,Remembering No Goods,3,0.0,1
204,Backtracking,3,0.0,1
205,Remembering No Goods,3,0.0,1
206,Backtracking,3,0.0,1
207,Remembering No Goods,3,0.0,1
208,Backtracking,3,0.0,1
209,Remembering No Goods,3,0.0,1
210,Backtracking,3,0.0,1
211,Remembering No Goods,3,0.0,1
212,Backtracking,3,0.0,1
213,Remembering No Goods,3,0.0,1
214,Backtracking,3,0.0,1
215,Remembering No Goods,3,0.0,1
216,Backtracking,3,0.0,1
217,Remembering No Goods,3,0.0,1
218,Backtracking,3,0.0,1
219,Remembering No Goods,3,0.0,1
220,Backtracking,3,0.0,1
221,Remembering No Goods,3,0.0,1
222,Backtracking,3,0.0,1
223,Remembering No Goods,3,0.0,1
224,Backtracking,3,0.0,1
225,Remembering No Goods,3,0.0,1
226,Backtracking,3,0.0,1
227,Remembering No Goods,3,0.0,1
228,Backtracking,3,0.0,1
229,Remembering No Goods,3,0.0,1
230,Backtracking,3,0.0,1
231,Remembering No Goods,3,0.0,1
232,Backtracking,3,0.0,1
233,Remembering No Goods,3,4.553079605102539,1
234,Backtracking,3,0.0,0
235,Remembering No Goods,3,0.0,0
236,Backtracking,3,0.0,1
237,Remembering No Goods,3,0.0,1
238,Backtracking,3,0.0,1
239,Remembering No Goods,3,0.0,1
240,Backtracking,3,0.0,1
241,Remembering No Goods,3,0.0,1
242,Backtracking,3,0.0,1
243,Remembering No Goods,3,0.0,1
244,Backtracking,3,0.0,0
245,Remembering No Goods,3,0.0,0
246,Backtracking,3,0.0,1
247,Remembering No Goods,3,0.0,1
248,Backtracking,3,0.0,1
249,Remembering No Goods,3,0.0,1
250,Backtracking,3,0.0,0
251,Remembering No Goods,3,0.0,0
252,Backtracking,3,2.010345458984375,1
253,Remembering No Goods,3,0.0,1
254,Backtracking,3,0.0,1
255,Remembering No Goods,3,0.0,1
256,Backtracking,3,0.0,1
257,Remembering No Goods,3,0.0,1
258,Backtracking,3,0.0,1
259,Remembering No Goods,3,0.0,1
260,Backtracking,3,0.0,1
261,Remembering No Goods,3,0.0,1
262,Backtracking,3,0.0,1
263,Remembering No Goods,3,0.0,1
264,Backtracking,3,0.0,1
265,Remembering No Goods,3,0.0,1
266,Backtracking,3,0.0,1
267,Remembering No Goods,3,0.0,1
268,Backtracking,3,0.0,1
269,Remembering No Goods,3,0.0,1
270,Backtracking,3,0.0,1
271,Remembering No Goods,3,0.0,1
272,Backtracking,3,0.0,1
273,Remembering No Goods,3,0.0,1
274,Backtracking,3,0.0,1
275,Remembering No Goods,3,0.0,1
276,Backtracking,3,0.0,1
277,Remembering No Goods,3,0.0,1
278,Backtracking,3,0.0,0
279,Remembering No Goods,3,2.0074844360351562,0
280,Backtracking,3,0.0,1
281,Remembering No Goods,3,0.0,1
282,Backtracking,3,0.0,1
283,Remembering No Goods,3,0.0,1
284,Backtracking,3,0.0,1
285,Remembering No Goods,3,0.0,1
286,Backtracking,3,0.0,1
287,Remembering No Goods,3,0.0,1
288,Backtracking,3,0.0,1
289,Remembering No Goods,3,0.0,1
290,Backtracking,3,0.0,0
291,Remembering No Goods,3,0.0,0
292,Backtracking,3,0.0,1
293,Remembering No Goods,3,0.0,1
294,Backtracking,3,0.0,1
295,Remembering No Goods,3,0.0,1
296,Backtracking,3,0.0,1
297,Remembering No Goods,3,0.0,1
298,Backtracking,3,0.0,1
299,Remembering No Goods,3,0.0,1
300,Backtracking,4,0.0,1
301,Remembering No Goods,4,0.0,1
302,Backtracking,4,0.0,0
303,Remembering No Goods,4,0.0,0
304,Backtracking,4,0.0,1
305,Remembering No Goods,4,0.0,1
306,Backtracking,4,0.0,1
307,Remembering No Goods,4,0.0,1
308,Backtracking,4,0.0,1
309,Remembering No Goods,4,0.0,1
310,Backtracking,4,0.0,1
311,Remembering No Goods,4,0.0,1
312,Backtracking,4,0.0,1
313,Remembering No Goods,4,2.0055770874023438,1
314,Backtracking,4,0.0,1
315,Remembering No Goods,4,0.0,1
316,Backtracking,4,0.0,1
317,Remembering No Goods,4,0.0,1
318,Backtracking,4,2.0046234130859375,1
319,Remembering No Goods,4,2.0058155059814453,1
320,Backtracking,4,0.0,0
321,Remembering No Goods,4,0.0,0
322,Backtracking,4,0.0,1
323,Remembering No Goods,4,0.0,1
324,Backtracking,4,0.0,1
325,Remembering No Goods,4,0.0,1
326,Backtracking,4,1.5053749084472656,1
327,Remembering No Goods,4,0.0,1
328,Backtracking,4,0.0,0
329,Remembering No Goods,4,0.0,0
330,Backtracking,4,0.0,1
331,Remembering No Goods,4,0.0,1
332,Backtracking,4,0.0,1
333,Remembering No Goods,4,0.0,1
334,Backtracking,4,0.0,1
335,Remembering No Goods,4,0.0,1
336,Backtracking,4,0.0,1
337,Remembering No Goods,4,0.0,1
338,Backtracking,4,0.0,1
339,Remembering No Goods,4,0.0,1
340,Backtracking,4,0.0,1
341,Remembering No Goods,4,0.0,1
342,Backtracking,4,0.0,1
343,Remembering No Goods,4,0.0,1
344,Backtracking,4,0.0,1
345,Remembering No Goods,4,0.0,1
346,Backtracking,4,0.0,1
347,Remembering No Goods,4,0.0,1
348,Backtracking,4,0.0,1
349,Remembering No Goods,4,0.0,1
350,Backtracking,4,0.0,1
351,Remembering No Goods,4,0.0,1
352,Backtracking,4,15.893936157226562,0
353,Remembering No Goods,4,0.0,0
354,Backtracking,4,0.0,1
355,Remembering No Goods,4,0.0,1
356,Backtracking,4,0.0,1
357,Remembering No Goods,4,0.0,1
358,Backtracking,4,0.0,1
359,Remembering No Goods,4,0.0,1
360,Backtracking,4,0.0,1
361,Remembering No Goods,4,0.0,1
362,Backtracking,4,0.0,1
363,Remembering No Goods,4,0.0,1
364,Backtracking,4,0.0,0
365,Remembering No Goods,4,0.0,0
366,Backtracking,4,0.0,1
367,Remembering No Goods,4,0.0,1
368,Backtracking,4,0.0,1
369,Remembering No Goods,4,0.0,1
370,Backtracking,4,0.0,1
371,Remembering No Goods,4,0.0,1
372,Backtracking,4,0.0,1
373,Remembering No Goods,4,0.0,1
374,Backtracking,4,0.0,1
375,Remembering No Goods,4,0.0,1
376,Backtracking,4,0.0,1
377,Remembering No Goods,4,0.0,1
378,Backtracking,4,0.0,1
379,Remembering No Goods,4,0.0,1
380,Backtracking,4,0.0,0
381,Remembering No Goods,4,0.0,0
382,Backtracking,4,0.0,1
383,Remembering No Goods,4,0.0,1
384,Backtracking,4,0.0,1
385,Remembering No Goods,4,0.0,1
386,Backtracking,4,0.0,1
387,Remembering No Goods,4,0.0,1
388,Backtracking,4,0.0,1
389,Remembering No Goods,4,0.0,1
390,Backtracking,4,0.0,1
391,Remembering No Goods,4,0.0,1
392,Backtracking,4,0.0,1
393,Remembering No Goods,4,0.0,1
394,Backtracking,4,0.0,1
395,Remembering No Goods,4,0.0,1
396,Backtracking,4,0.0,0
397,Remembering No Goods,4,0.0,0
398,Backtracking,4,0.0,1
399,Remembering No Goods,4,0.0,1
400,Backtracking,5,0.0,1
401,Remembering No Goods,5,0.0,1
402,Backtracking,5,0.0,1
403,Remembering No Goods,5,0.0,1
404,Backtracking,5,0.0,1
405,Remembering No Goods,5,0.0,1
406,Backtracking,5,0.0,1
407,Remembering No Goods,5,0.0,1
408,Backtracking,5,0.0,1
409,Remembering No Goods,5,0.0,1
410,Backtracking,5,0.0,1
411,Remembering No Goods,5,0.0,1
412,Backtracking,5,0.0,0
413,Remembering No Goods,5,0.0,0
414,Backtracking,5,0.0,1
415,Remembering No Goods,5,15.874624252319336,1
416,Backtracking,5,0.0,0
417,Remembering No Goods,5,0.0,0
418,Backtracking,5,0.0,0
419,Remembering No Goods,5,15.788793563842773,0
420,Backtracking,5,0.0,0
421,Remembering No Goods,5,0.0,0
422,Backtracking,5,0.0,1
423,Remembering No Goods,5,0.0,1
424,Backtracking,5,2.005338668823242,1
425,Remembering No Goods,5,0.0,1
426,Backtracking,5,0.0,1
427,Remembering No Goods,5,0.0,1
428,Backtracking,5,1.5048980712890625,1
429,Remembering No Goods,5,0.0,1
430,Backtracking,5,0.0,1
431,Remembering No Goods,5,0.0,1
432,Backtracking,5,0.0,0
433,Remembering No Goods,5,0.0,0
434,Backtracking,5,0.0,1
435,Remembering No Goods,5,0.0,1
436,Backtracking,5,0.0,0
437,Remembering No Goods,5,0.0,0
438,Backtracking,5,1.0046958923339844,0
439,Remembering No Goods,5,0.0,0
440,Backtracking,5,0.0,0
441,Remembering No Goods,5,0.0,0
442,Backtracking,5,0.0,1
443,Remembering No Goods,5,0.0,1
444,Backtracking,5,9.730815887451172,1
445,Remembering No Goods,5,15.898466110229492,1
446,Backtracking,5,2.0055770874023438,1
447,Remembering No Goods,5,2.006053924560547,1
448,Backtracking,5,0.0,1
449,Remembering No Goods,5,2.005338668823242,1
450,Backtracking,5,0.0,1
451,Remembering No Goods,5,0.0,1
452,Backtracking,5,0.0,1
453,Remembering No Goods,5,0.0,1
454,Backtracking,5,0.0,1
455,Remembering No Goods,5,0.0,1
456,Backtracking,5,0.0,1
457,Remembering No Goods,5,0.0,1
458,Backtracking,5,0.0,1
459,Remembering No Goods,5,0.0,1
460,Backtracking,5,0.0,1
461,Remembering No Goods,5,2.0051002502441406,1
462,Backtracking,5,0.0,1
463,Remembering No Goods,5,2.0058155059814453,1
464,Backtracking,5,0.0,1
465,Remembering No Goods,5,0.0,1
466,Backtracking,5,0.0,1
467,Remembering No Goods,5,0.0,1
468,Backtracking,5,0.0,1
469,Remembering No Goods,5,0.0,1
470,Backtracking,5,0.0,1
471,Remembering No Goods,5,0.0,1
472,Backtracking,5,0.0,1
473,Remembering No Goods,5,0.0,1
474,Backtracking,5,0.0,1
475,Remembering No Goods,5,0.0,1
476,Backtracking,5,0.0,0
477,Remembering No Goods,5,2.005338668823242,0
478,Backtracking,5,0.0,0
479,Remembering No Goods,5,0.0,0
480,Backtracking,5,0.0,1
481,Remembering No Goods,5,0.0,1
482,Backtracking,5,0.0,0
483,Remembering No Goods,5,0.0,0
484,Backtracking,5,0.0,1
485,Remembering No Goods,5,2.0041465759277344,1
486,Backtracking,5,0.0,1
487,Remembering No Goods,5,0.0,1
488,Backtracking,5,0.0,0
489,Remembering No Goods,5,0.0,0
490,Backtracking,5,0.0,0
491,Remembering No Goods,5,0.0,0
492,Backtracking,5,0.0,1
493,Remembering No Goods,5,0.0,1
494,Backtracking,5,2.0046234130859375,1
495,Remembering No Goods,5,0.0,1
496,Backtracking,5,1.7466545104980469,0
497,Remembering No Goods,5,0.0,0
498,Backtracking,5,0.0,1
499,Remembering No Goods,5,0.0,1
500,Backtracking,6,2.0051002502441406,1
501,Remembering No Goods,6,0.0,1
502,Backtracking,6,0.0,1
503,Remembering No Goods,6,0.0,1
504,Backtracking,6,0.0,1
505,Remembering No Goods,6,15.843868255615234,1
506,Backtracking,6,0.0,1
507,Remembering No Goods,6,0.0,1
508,Backtracking,6,2.005338668823242,1
509,Remembering No Goods,6,2.2013187408447266,1
510,Backtracking,6,0.0,1
511,Remembering No Goods,6,0.0,1
512,Backtracking,6,0.0,1
513,Remembering No Goods,6,8.93712043762207,1
514,Backtracking,6,0.0,0
515,Remembering No Goods,6,2.0148754119873047,0
516,Backtracking,6,0.0,0
517,Remembering No Goods,6,0.0,0
518,Backtracking,6,0.0,1
519,Remembering No Goods,6,2.006053924560547,1
520,Backtracking,6,0.0,1
521,Remembering No Goods,6,7.527589797973633,1
522,Backtracking,6,1.6303062438964844,1
523,Remembering No Goods,6,2.0151138305664062,1
524,Backtracking,6,9.033918380737305,0
525,Remembering No Goods,6,0.0,0
526,Backtracking,6,0.5545616149902344,1
527,Remembering No Goods,6,0.0,1
528,Backtracking,6,2.0101070404052734,1
529,Remembering No Goods,6,0.0,1
530,Backtracking,6,0.0,0
531,Remembering No Goods,6,0.0,0
532,Backtracking,6,0.0,1
533,Remembering No Goods,6,2.5177001953125,1
534,Backtracking,6,2.0058155059814453,1
535,Remembering No Goods,6,2.0058155059814453,1
536,Backtracking,6,0.0,1
537,Remembering No Goods,6,0.0,1
538,Backtracking,6,2.008676528930664,0
539,Remembering No Goods,6,4.012584686279297,0
540,Backtracking,6,0.0,1
541,Remembering No Goods,6,0.0,1
542,Backtracking,6,0.0,1
543,Remembering No Goods,6,1.1017322540283203,1
544,Backtracking,6,0.0,0
545,Remembering No Goods,6,2.00653076171875,0
546,Backtracking,6,2.0151138305664062,0
547,Remembering No Goods,6,0.0,0
548,Backtracking,6,4.011869430541992,1
549,Remembering No Goods,6,4.014015197753906,1
550,Backtracking,6,0.0,1
551,Remembering No Goods,6,0.0,1
552,Backtracking,6,0.0,0
553,Remembering No Goods,6,0.0,0
554,Backtracking,6,1.2722015380859375,1
555,Remembering No Goods,6,0.0,1
556,Backtracking,6,0.0,1
557,Remembering No Goods,6,13.894081115722656,1
558,Backtracking,6,0.0,0
559,Remembering No Goods,6,0.0,0
560,Backtracking,6,0.0,0
561,Remembering No Goods,6,0.0,0
562,Backtracking,6,2.0067691802978516,1
563,Remembering No Goods,6,2.007007598876953,1
564,Backtracking,6,0.0,1
565,Remembering No Goods,6,13.263940811157227,1
566,Backtracking,6,0.0,1
567,Remembering No Goods,6,0.0,1
