,Algorithm,Number of MTAs,Runtime,Result
1062,Backtracking,11,18.048763275146484,1
1063,Remembering No Goods,11,0.0,1
1064,Backtracking,11,4.0111541748046875,0
1065,Remembering No Goods,11,5.511045455932617,0
1066,Backtracking,11,0.0,0
1067,Remembering No Goods,11,0.0,0
1068,Backtracking,11,4.006147384643555,0
1069,Remembering No Goods,11,4.007101058959961,0
1070,Backtracking,11,0.0,0
1071,Remembering No Goods,11,15.983343124389648,0
1072,Backtracking,11,0.0,0
1073,Remembering No Goods,11,0.0,0
1074,Backtracking,11,0.0,0
1075,Remembering No Goods,11,0.0,0
1076,Backtracking,11,9.025096893310547,0
1077,Remembering No Goods,11,15.860557556152344,0
1078,Backtracking,11,0.0,0
1079,Remembering No Goods,11,0.0,0
1080,Backtracking,11,0.0,0
1081,Remembering No Goods,11,0.0,0
1082,Backtracking,11,10.6658935546875,1
1083,Remembering No Goods,11,0.0,1
1084,Backtracking,11,0.0,0
1085,Remembering No Goods,11,0.0,0
1086,Backtracking,11,0.0,0
1087,Remembering No Goods,11,0.0,0
1088,Backtracking,11,0.0,0
1089,Remembering No Goods,11,7.624149322509766,0
1090,Backtracking,11,15.892267227172852,1
1091,Remembering No Goods,11,15.881538391113281,1
1092,Backtracking,11,0.0,0
1093,Remembering No Goods,11,15.737533569335938,0
1094,Backtracking,11,0.0,0
1095,Remembering No Goods,11,16.21699333190918,0
1096,Backtracking,11,0.0,0
1097,Remembering No Goods,11,0.0,0
1098,Backtracking,11,0.0,0
1099,Remembering No Goods,11,0.0,0
1100,Backtracking,12,16.18671417236328,1
1101,Remembering No Goods,12,4.719734191894531,1
1102,Backtracking,12,8.022308349609375,0
1103,Remembering No Goods,12,3.5996437072753906,0
1104,Backtracking,12,15.741586685180664,0
1105,Remembering No Goods,12,18.545150756835938,0
1106,Backtracking,12,15.899419784545898,0
1107,Remembering No Goods,12,0.0,0
1108,Backtracking,12,15.922307968139648,0
1109,Remembering No Goods,12,15.720367431640625,0
1110,Backtracking,12,9.544849395751953,0
1111,Remembering No Goods,12,15.87820053100586,0
1112,Backtracking,12,0.0,0
1113,Remembering No Goods,12,4.0130615234375,0
1114,Backtracking,12,0.0,0
1115,Remembering No Goods,12,9.77778434753418,0
1116,Backtracking,12,0.0,0
1117,Remembering No Goods,12,15.778303146362305,0
1118,Backtracking,12,0.0,0
1119,Remembering No Goods,12,0.0,0
1120,Backtracking,12,21.423816680908203,1
1121,Remembering No Goods,12,15.82956314086914,1
1122,Backtracking,12,0.0,0
1123,Remembering No Goods,12,4.004955291748047,0
1124,Backtracking,12,7.364749908447266,0
1125,Remembering No Goods,12,0.0,0
1126,Backtracking,12,15.749692916870117,1
1127,Remembering No Goods,12,15.967369079589844,1
1128,Backtracking,12,0.0,1
1129,Remembering No Goods,12,15.815258026123047,1
1130,Backtracking,12,15.990972518920898,0
1131,Remembering No Goods,12,16.054868698120117,0
1132,Backtracking,12,0.0,0
1133,Remembering No Goods,12,0.0,0
1134,Backtracking,12,11.725187301635742,0
1135,Remembering No Goods,12,0.0,0
1136,Backtracking,12,5.613565444946289,0
1137,Remembering No Goods,12,0.0,0
1138,Backtracking,12,16.09969139099121,0
1139,Remembering No Goods,12,17.2121524810791,0
1140,Backtracking,12,0.0,1
1141,Remembering No Goods,12,6.014108657836914,1
1142,Backtracking,12,15.865325927734375,1
1143,Remembering No Goods,12,15.795469284057617,1
1144,Backtracking,12,7.027626037597656,1
1145,Remembering No Goods,12,0.0,1
1146,Backtracking,12,0.0,0
1147,Remembering No Goods,12,0.0,0
1148,Backtracking,12,0.0,0
1149,Remembering No Goods,12,0.0,0
1150,Backtracking,12,15.748023986816406,1
1151,Remembering No Goods,12,15.802383422851562,1
1152,Backtracking,12,0.0,0
1153,Remembering No Goods,12,15.832901000976562,0
1154,Backtracking,12,0.0,0
1155,Remembering No Goods,12,8.03065299987793,0
1156,Backtracking,12,0.0,0
1157,Remembering No Goods,12,0.0,0
1158,Backtracking,12,0.0,0
1159,Remembering No Goods,12,10.88261604309082,0
1160,Backtracking,12,4.00996208190918,0
1161,Remembering No Goods,12,6.020784378051758,0
1162,Backtracking,12,0.0,0
1163,Remembering No Goods,12,0.0,0
1164,Backtracking,12,16.013622283935547,1
1165,Remembering No Goods,12,2.0055770874023438,1
1166,Backtracking,12,0.0,0
1167,Remembering No Goods,12,0.0,0
1168,Backtracking,12,16.157150268554688,1
1169,Remembering No Goods,12,15.848398208618164,1
1170,Backtracking,12,17.854928970336914,0
1171,Remembering No Goods,12,17.21024513244629,0
1172,Backtracking,12,16.091346740722656,1
1173,Remembering No Goods,12,16.16382598876953,1
1174,Backtracking,12,15.938282012939453,1
1175,Remembering No Goods,12,0.0,1
1176,Backtracking,12,0.0,0
1177,Remembering No Goods,12,16.038179397583008,0
1178,Backtracking,12,16.101360321044922,0
1179,Remembering No Goods,12,0.0,0
1180,Backtracking,12,0.0,0
1181,Remembering No Goods,12,7.070302963256836,0
1182,Backtracking,12,12.640237808227539,0
1183,Remembering No Goods,12,0.0,0
1184,Backtracking,12,11.770009994506836,0
1185,Remembering No Goods,12,13.977766036987305,0
1186,Backtracking,12,0.0,0
1187,Remembering No Goods,12,0.0,0
1188,Backtracking,12,16.0062313079834,1
1189,Remembering No Goods,12,15.852928161621094,1
1190,Backtracking,12,15.833854675292969,0
1191,Remembering No Goods,12,13.478517532348633,0
1192,Backtracking,12,0.0,0
1193,Remembering No Goods,12,0.0,0
1194,Backtracking,12,0.0,0
1195,Remembering No Goods,12,2.004384994506836,0
1196,Backtracking,12,16.132831573486328,0
1197,Remembering No Goods,12,16.022205352783203,0
1198,Backtracking,12,0.0,0
1199,Remembering No Goods,12,0.0,0
1200,Backtracking,13,0.0,0
1201,Remembering No Goods,13,6.019115447998047,0
1202,Backtracking,13,9.76872444152832,0
1203,Remembering No Goods,13,31.56256675720215,0
1204,Backtracking,13,15.731573104858398,0
1205,Remembering No Goods,13,0.0,0
1206,Backtracking,13,10.036706924438477,0
1207,Remembering No Goods,13,12.039899826049805,0
1208,Backtracking,13,19.72222328186035,1
1209,Remembering No Goods,13,15.787124633789062,1
1210,Backtracking,13,9.925127029418945,0
1211,Remembering No Goods,13,15.794992446899414,0
1212,Backtracking,13,15.908241271972656,0
1213,Remembering No Goods,13,8.022069931030273,0
1214,Backtracking,13,11.779308319091797,0
1215,Remembering No Goods,13,10.029315948486328,0
1216,Backtracking,13,0.0,0
1217,Remembering No Goods,13,0.0,0
1218,Backtracking,13,0.0,0
1219,Remembering No Goods,13,0.0,0
1220,Backtracking,13,15.757083892822266,0
1221,Remembering No Goods,13,0.0,0
1222,Backtracking,13,0.0,0
1223,Remembering No Goods,13,16.905784606933594,0
1224,Backtracking,13,0.0,0
1225,Remembering No Goods,13,0.0,0
1226,Backtracking,13,0.0,0
1227,Remembering No Goods,13,0.0,0
1228,Backtracking,13,0.0,1
1229,Remembering No Goods,13,0.0,1
1230,Backtracking,13,14.221906661987305,0
1231,Remembering No Goods,13,16.176223754882812,0
1232,Backtracking,13,0.0,0
1233,Remembering No Goods,13,0.0,0
1234,Backtracking,13,0.0,0
1235,Remembering No Goods,13,10.654687881469727,0
1236,Backtracking,13,0.0,0
1237,Remembering No Goods,13,17.9440975189209,0
1238,Backtracking,13,0.0,0
1239,Remembering No Goods,13,9.332418441772461,0
1240,Backtracking,13,8.016347885131836,1
1241,Remembering No Goods,13,15.804052352905273,1
1242,Backtracking,13,13.770818710327148,0
1243,Remembering No Goods,13,15.820026397705078,0
1244,Backtracking,13,10.030269622802734,0
1245,Remembering No Goods,13,16.091108322143555,0
1246,Backtracking,13,15.857934951782227,1
1247,Remembering No Goods,13,10.451793670654297,1
1248,Backtracking,13,19.564151763916016,0
1249,Remembering No Goods,13,16.17431640625,0
1250,Backtracking,13,2.004861831665039,0
1251,Remembering No Goods,13,2.0041465759277344,0
1252,Backtracking,13,13.779878616333008,0
1253,Remembering No Goods,13,11.778116226196289,0
1254,Backtracking,13,16.132116317749023,0
1255,Remembering No Goods,13,4.013538360595703,0
1256,Backtracking,13,0.0,0
1257,Remembering No Goods,13,0.0,0
1258,Backtracking,13,2.092123031616211,0
1259,Remembering No Goods,13,14.045000076293945,0
1260,Backtracking,13,15.735864639282227,0
1261,Remembering No Goods,13,0.0,0
1262,Backtracking,13,24.618148803710938,0
1263,Remembering No Goods,13,13.653039932250977,0
1264,Backtracking,13,0.0,0
1265,Remembering No Goods,13,0.0,0
1266,Backtracking,13,0.0,0
1267,Remembering No Goods,13,0.0,0
1268,Backtracking,13,0.0,1
1269,Remembering No Goods,13,16.187191009521484,1
1270,Backtracking,13,0.0,0
1271,Remembering No Goods,13,4.013299942016602,0
1272,Backtracking,13,13.771295547485352,1
1273,Remembering No Goods,13,5.756139755249023,1
1274,Backtracking,13,4.246950149536133,0
1275,Remembering No Goods,13,0.0,0
1276,Backtracking,13,0.0,0
1277,Remembering No Goods,13,0.0,0
1278,Backtracking,13,5.419492721557617,0
1279,Remembering No Goods,13,0.0,0
1280,Backtracking,13,4.012584686279297,0
1281,Remembering No Goods,13,9.771108627319336,0
1282,Backtracking,13,15.872716903686523,0
1283,Remembering No Goods,13,0.0,0
1284,Backtracking,13,15.883207321166992,1
1285,Remembering No Goods,13,11.77525520324707,1
1286,Backtracking,13,10.046005249023438,0
1287,Remembering No Goods,13,15.983343124389648,0
1288,Backtracking,13,4.204034805297852,0
1289,Remembering No Goods,13,7.585287094116211,0
1290,Backtracking,13,15.639781951904297,0
1291,Remembering No Goods,13,0.0,0
1292,Backtracking,13,1.0919570922851562,1
1293,Remembering No Goods,13,5.753278732299805,1
1294,Backtracking,13,15.973329544067383,1
1295,Remembering No Goods,13,16.21270179748535,1
1296,Backtracking,13,8.028507232666016,0
1297,Remembering No Goods,13,6.012439727783203,0
1298,Backtracking,13,15.944480895996094,0
1299,Remembering No Goods,13,15.71345329284668,0
1300,Backtracking,14,0.0,0
1301,Remembering No Goods,14,0.0,0
1302,Backtracking,14,0.0,0
1303,Remembering No Goods,14,0.0,0
1304,Backtracking,14,0.0,0
1305,Remembering No Goods,14,0.0,0
1306,Backtracking,14,0.0,0
1307,Remembering No Goods,14,0.0,0
1308,Backtracking,14,0.0,0
1309,Remembering No Goods,14,0.0,0
1310,Backtracking,14,11.934757232666016,0
1311,Remembering No Goods,14,0.0,0
1312,Backtracking,14,0.0,0
1313,Remembering No Goods,14,0.0,0
1314,Backtracking,14,47.31464385986328,0
1315,Remembering No Goods,14,0.0,0
1316,Backtracking,14,0.0,0
1317,Remembering No Goods,14,16.098499298095703,0
1318,Backtracking,14,0.0,0
1319,Remembering No Goods,14,0.0,0
1320,Backtracking,14,2.004384994506836,0
1321,Remembering No Goods,14,2.005338668823242,0
1322,Backtracking,14,5.751609802246094,1
1323,Remembering No Goods,14,5.750417709350586,1
1324,Backtracking,14,0.0,0
1325,Remembering No Goods,14,16.168832778930664,0
1326,Backtracking,14,7.516622543334961,0
1327,Remembering No Goods,14,15.896797180175781,0
1328,Backtracking,14,6.015300750732422,0
1329,Remembering No Goods,14,6.009101867675781,0
1330,Backtracking,14,0.0,0
1331,Remembering No Goods,14,0.0,0
1332,Backtracking,14,0.0,0
1333,Remembering No Goods,14,0.0,0
1334,Backtracking,14,0.0,0
1335,Remembering No Goods,14,0.0,0
1336,Backtracking,14,8.01229476928711,1
1337,Remembering No Goods,14,9.515523910522461,1
1338,Backtracking,14,10.282516479492188,1
1339,Remembering No Goods,14,16.00480079650879,1
1340,Backtracking,14,10.628223419189453,0
1341,Remembering No Goods,14,0.0,0
1342,Backtracking,14,15.94233512878418,1
1343,Remembering No Goods,14,0.0,1
1344,Backtracking,14,16.2198543548584,0
1345,Remembering No Goods,14,0.0,0
1346,Backtracking,14,0.0,0
1347,Remembering No Goods,14,0.0,0
1348,Backtracking,14,6.010770797729492,0
1349,Remembering No Goods,14,6.009340286254883,0
1350,Backtracking,14,3.507375717163086,0
1351,Remembering No Goods,14,4.006862640380859,0
1352,Backtracking,14,8.014440536499023,0
1353,Remembering No Goods,14,10.024785995483398,0
1354,Backtracking,14,16.350746154785156,0
1355,Remembering No Goods,14,0.0,0
1356,Backtracking,14,2.0084381103515625,0
1357,Remembering No Goods,14,2.003908157348633,0
1358,Backtracking,14,0.0,0
1359,Remembering No Goods,14,0.0,0
1360,Backtracking,14,0.0,0
1361,Remembering No Goods,14,0.0,0
1362,Backtracking,14,15.924692153930664,0
1363,Remembering No Goods,14,15.82479476928711,0
1364,Backtracking,14,0.0,0
1365,Remembering No Goods,14,0.0,0
1366,Backtracking,14,5.009889602661133,0
1367,Remembering No Goods,14,8.015155792236328,0
1368,Backtracking,14,9.75489616394043,1
1369,Remembering No Goods,14,5.751848220825195,1
1370,Backtracking,14,4.008054733276367,0
1371,Remembering No Goods,14,0.0,0
1372,Backtracking,14,4.009485244750977,0
1373,Remembering No Goods,14,4.007577896118164,0
1374,Backtracking,14,5.510807037353516,0
1375,Remembering No Goods,14,6.0100555419921875,0
1376,Backtracking,14,0.0,0
1377,Remembering No Goods,14,8.440017700195312,0
1378,Backtracking,14,15.926599502563477,0
1379,Remembering No Goods,14,0.0,0
1380,Backtracking,14,0.0,0
1381,Remembering No Goods,14,16.203641891479492,0
1382,Backtracking,14,6.014108657836914,1
1383,Remembering No Goods,14,7.753849029541016,1
1384,Backtracking,14,0.0,0
1385,Remembering No Goods,14,0.0,0
1386,Backtracking,14,0.0,0
1387,Remembering No Goods,14,0.0,0
1388,Backtracking,14,0.0,0
1389,Remembering No Goods,14,16.188621520996094,0
1390,Backtracking,14,0.0,0
1391,Remembering No Goods,14,18.00060272216797,0
1392,Backtracking,14,14.023542404174805,1
1393,Remembering No Goods,14,0.0,1
1394,Backtracking,14,0.0,0
1395,Remembering No Goods,14,15.97738265991211,0
1396,Backtracking,14,0.0,1
1397,Remembering No Goods,14,15.988349914550781,1
1398,Backtracking,14,0.0,0
1399,Remembering No Goods,14,0.0,0
1400,Backtracking,15,9.758234024047852,0
1401,Remembering No Goods,15,10.761737823486328,0
1402,Backtracking,15,6.010293960571289,0
1403,Remembering No Goods,15,5.753278732299805,0
1404,Backtracking,15,0.0,0
1405,Remembering No Goods,15,10.152339935302734,0
1406,Backtracking,15,2.0036697387695312,0
1407,Remembering No Goods,15,2.003908157348633,0
1408,Backtracking,15,4.012107849121094,0
1409,Remembering No Goods,15,2.0041465759277344,0
1410,Backtracking,15,6.008625030517578,0
1411,Remembering No Goods,15,6.012201309204102,0
1412,Backtracking,15,2.0041465759277344,0
1413,Remembering No Goods,15,4.008293151855469,0
1414,Backtracking,15,10.01429557800293,0
1415,Remembering No Goods,15,11.501789093017578,0
1416,Backtracking,15,0.0,0
1417,Remembering No Goods,15,0.0,0
1418,Backtracking,15,7.752418518066406,0
1419,Remembering No Goods,15,0.0,0
1420,Backtracking,15,9.76109504699707,0
1421,Remembering No Goods,15,7.752418518066406,0
1422,Backtracking,15,8.013248443603516,0
1423,Remembering No Goods,15,8.015155792236328,0
1424,Backtracking,15,4.005670547485352,0
1425,Remembering No Goods,15,16.06440544128418,0
1426,Backtracking,15,10.022640228271484,0
1427,Remembering No Goods,15,9.493589401245117,0
1428,Backtracking,15,15.748262405395508,0
1429,Remembering No Goods,15,0.0,0
1430,Backtracking,15,0.0,0
1431,Remembering No Goods,15,0.0,0
1432,Backtracking,15,7.750034332275391,1
1433,Remembering No Goods,15,8.013486862182617,1
1434,Backtracking,15,13.831615447998047,1
1435,Remembering No Goods,15,15.847206115722656,1
1436,Backtracking,15,8.025407791137695,0
1437,Remembering No Goods,15,7.506132125854492,0
1438,Backtracking,15,6.012201309204102,0
1439,Remembering No Goods,15,7.7648162841796875,0
1440,Backtracking,15,0.0,0
1441,Remembering No Goods,15,0.0,0
1442,Backtracking,15,0.0,0
1443,Remembering No Goods,15,0.0,0
1444,Backtracking,15,0.0,0
1445,Remembering No Goods,15,0.0,0
1446,Backtracking,15,6.012678146362305,0
1447,Remembering No Goods,15,4.009723663330078,0
1448,Backtracking,15,4.005908966064453,0
1449,Remembering No Goods,15,3.7484169006347656,0
1450,Backtracking,15,0.0,0
1451,Remembering No Goods,15,0.0,0
1452,Backtracking,15,8.014678955078125,1
1453,Remembering No Goods,15,0.0,1
1454,Backtracking,15,3.0083656311035156,0
1455,Remembering No Goods,15,0.0,0
1456,Backtracking,15,4.823446273803711,0
1457,Remembering No Goods,15,7.76219367980957,0
1458,Backtracking,15,5.7506561279296875,0
1459,Remembering No Goods,15,0.0,0
1460,Backtracking,15,15.765905380249023,0
1461,Remembering No Goods,15,15.744924545288086,0
1462,Backtracking,15,19.262313842773438,0
1463,Remembering No Goods,15,39.33358192443848,0
1464,Backtracking,15,0.0,0
1465,Remembering No Goods,15,18.950462341308594,0
1466,Backtracking,15,0.0,0
1467,Remembering No Goods,15,16.210556030273438,0
1468,Backtracking,15,0.0,0
1469,Remembering No Goods,15,0.0,0
1470,Backtracking,15,16.004085540771484,0
1471,Remembering No Goods,15,0.0,0
1472,Backtracking,15,7.755041122436523,0
1473,Remembering No Goods,15,11.766910552978516,0
1474,Backtracking,15,0.0,0
1475,Remembering No Goods,15,0.0,0
1476,Backtracking,15,8.011102676391602,0
1477,Remembering No Goods,15,15.77448844909668,0
1478,Backtracking,15,8.020401000976562,0
1479,Remembering No Goods,15,0.0,0
1480,Backtracking,15,4.006147384643555,0
1481,Remembering No Goods,15,4.008054733276367,0
1482,Backtracking,15,7.226228713989258,0
1483,Remembering No Goods,15,10.020256042480469,0
1484,Backtracking,15,0.0,0
1485,Remembering No Goods,15,15.995264053344727,0
1486,Backtracking,15,0.0,1
1487,Remembering No Goods,15,16.10541343688965,1
1488,Backtracking,15,0.0,0
1489,Remembering No Goods,15,2.37274169921875,0
1490,Backtracking,15,5.753517150878906,0
1491,Remembering No Goods,15,4.008293151855469,0
1492,Backtracking,15,0.0,1
1493,Remembering No Goods,15,16.01862907409668,1
1494,Backtracking,15,15.808343887329102,0
1495,Remembering No Goods,15,19.67024803161621,0
1496,Backtracking,15,0.0,0
1497,Remembering No Goods,15,10.034322738647461,0
1498,Backtracking,15,13.841629028320312,0
1499,Remembering No Goods,15,0.0,0
